haplogroup,region,source
H,Western Europe,PhyloTree
U,Eurasia,PhyloTree
L0,Southern Africa,EMPOP
L1,Central Africa,EMPOP
L2,West Africa,EMPOP
L3,East Africa,EMPOP
B4,Southeast Asia,EMPOP
A2,Native North America,PhyloTree
C1,Siberia and Americas,PhyloTree
D4,East Asia,PhyloTree
X,Western Eurasia / North America,PhyloTree
J,Europe and Near East,PhyloTree
K,Europe,PhyloTree
T,Europe and Central Asia,PhyloTree
M,Asia,EMPOP
N,Worldwide (basal),PhyloTree
I,Europe,PhyloTree
W,Eurasia,PhyloTree
Z,North and East Asia,PhyloTree
Y,Southeast Asia,EMPOP
E,Oceania and Southeast Asia,PhyloTree
F,East and Southeast Asia,EMPOP
B2,Native South America,EMPOP
A1,Central Asia,EMPOP
C4,Siberia,PhyloTree
D1,South America,PhyloTree
M7,East Asia,EMPOP
M8,Japan,EMPOP
G,Siberia,PhyloTree
HV,Europe and Middle East,PhyloTree
U5,Northern Europe,PhyloTree
U6,North Africa,PhyloTree
U7,South Asia,PhyloTree
U8,Central Europe,PhyloTree
R0,Arabian Peninsula,PhyloTree
R9,Southeast Asia,PhyloTree
H1,Iberian Peninsula,PhyloTree
H2,Eastern Europe,PhyloTree
H3,Western Europe,PhyloTree
H5,Balkans,PhyloTree
J1,Europe,PhyloTree
J2,Middle East,PhyloTree
T1,Eastern Europe,PhyloTree
T2,Near East,PhyloTree
M1,North Africa,PhyloTree
M2,South Asia,PhyloTree
M3,South Asia,PhyloTree
M4,South Asia,PhyloTree
M5,South Asia,PhyloTree
M6,South Asia,PhyloTree
